Species,Genotype,Replicate,Zip.Color,Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Replicate.Number,Timepoint
Madracis decactis,3,2,Green,MD-4-2,Tank_5,Control,Control,20240815,R1,TP4
Madracis decactis,3,26,Green,MD-4-26,Tank_5,Control,Control,20240815,R2,TP4
Madracis decactis,4,18,Red,MD-5-18,Tank_4,Control,High_Temp,20240815,R1,TP4
Madracis decactis,4,19,Red,MD-5-19,Tank_4,Control,High_Temp,20240815,R2,TP4
Madracis decactis,4,21,Red,MD-5-21,Tank_5,Control,Control,20240815,R1,TP4
Madracis decactis,4,9,Red,MD-5-9,Tank_5,Control,Control,20240815,R2,TP4
Madracis decactis,1,12,Black,MD-1-12,Tank_7,High_Temp,Control,20240815,R2,TP4
Madracis decactis,1,16,Black,MD-1-16,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
Madracis decactis,1,17,Black,MD-1-17,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
Madracis decactis,1,26,Black,MD-1-26,Tank_7,High_Temp,Control,20240815,R2,TP4
Madracis decactis,2,13,Yellow,MD-2-13,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
Madracis decactis,2,26,Yellow,MD-2-26,Tank_7,High_Temp,Control,20240815,R2,TP4
Madracis decactis,2,3,Yellow,MD-2-3,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
Madracis decactis,2,7,Yellow,MD-2-7,Tank_7,High_Temp,Control,20240815,R1,TP4
Madracis decactis,3,11,Green,MD-4-11,Tank_7,High_Temp,Control,20240815,R1,TP4
Madracis decactis,3,16,Green,MD-4-16,Tank_7,High_Temp,Control,20240815,R1,TP4
Madracis decactis,3,3,Green,MD-4-3,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
Madracis decactis,3,7,Green,MD-4-7,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
Madracis decactis,4,11,Red,MD-5-11,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
Madracis decactis,4,20,Red,MD-5-20,Tank_7,High_Temp,Control,20240815,R2,TP4
Madracis decactis,4,4,Red,MD-5-4,Tank_7,High_Temp,Control,20240815,R1,TP4
Madracis decactis,4,7,Red,MD-5-7,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
Madracis decactis,1,10,Black,MD-1-10,Tank_3,Low_pH,Control,20240815,R2,TP4
Madracis decactis,1,13,Black,MD-1-13,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
Madracis decactis,1,18,Black,MD-1-18,Tank_3,Low_pH,Control,20240815,R1,TP4
Madracis decactis,1,4,Black,MD-1-4,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
Madracis decactis,2,17,Yellow,MD-2-17,Tank_3,Low_pH,Control,20240815,R2,TP4
Madracis decactis,2,20,Yellow,MD-2-20,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
Madracis decactis,2,21,Yellow,MD-2-21,Tank_3,Low_pH,Control,20240815,R1,TP4
Madracis decactis,2,9,Yellow,MD-2-9,Tank_2,Low_pH,High_Temp,20240815,R2,TP3
Madracis decactis,3,15,Green,MD-4-15,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
Madracis decactis,3,21,Green,MD-4-21,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
Madracis decactis,3,22,Green,MD-4-22,Tank_3,Low_pH,Control,20240815,R1,TP4
Madracis decactis,3,24,Green,MD-4-24,Tank_3,Low_pH,Control,20240815,R2,TP4
Madracis decactis,4,17,Red,MD-5-17,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
Madracis decactis,4,22,Red,MD-5-22,Tank_3,Low_pH,Control,20240815,R1,TP4
Madracis decactis,4,25,Red,MD-5-25,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
Madracis decactis,4,3,Red,MD-5-3,Tank_3,Low_pH,Control,20240815,R2,TP4
