Species,Genotype,Replicate,Zip.Color,Sample.id,Acclimation.Tank,Treatment.Tank,Treament
DL,2,42,Yellow,DL_2_42,,,
DL,3,1,Green,DL_3_1,,,
DL,3,2,Green,DL_3_2,,,
DL,3,3,Green,DL_3_3,,,
DL,3,4,Green,DL_3_4,,,
DL,3,5,Green,DL_3_5,,,
DL,3,6,Green,DL_3_6,,,
DL,3,7,Green,DL_3_7,,,
DL,3,8,Green,DL_3_8,,,
DL,3,9,Green,DL_3_9,,,
DL,3,10,Green,DL_3_10,,,
DL,3,11,Green,DL_3_11,,,
DL,3,12,Green,DL_3_12,,,
DL,3,13,Green,DL_3_13,,,
DL,3,14,Green,DL_3_14,,,
DL,3,15,Green,DL_3_15,,,
DL,3,16,Green,DL_3_16,,,
DL,3,17,Green,DL_3_17,,,
DL,3,18,Green,DL_3_18,,,
DL,3,19,Green,DL_3_19,,,
DL,3,20,Green,DL_3_20,,,
DL,3,21,Green,DL_3_21,,,
DL,3,22,Green,DL_3_22,,,
DL,3,23,Green,DL_3_23,,,
DL,3,24,Green,DL_3_24,,,
DL,3,25,Green,DL_3_25,,,
DL,3,26,Green,DL_3_26,,,
DL,3,27,Green,DL_3_27,,,
DL,3,28,Green,DL_3_28,,,
DL,3,29,Green,DL_3_29,,,
DL,3,30,Green,DL_3_30,,,
DL,3,31,Green,DL_3_31,,,
DL,3,32,Green,DL_3_32,,,
DL,3,33,Green,DL_3_33,,,
DL,3,34,Green,DL_3_34,,,
DL,3,35,Green,DL_3_35,,,
DL,3,36,Green,DL_3_36,,,
DL,3,37,Green,DL_3_37,,,
DL,3,38,Green,DL_3_38,,,
DL,3,39,Green,DL_3_39,,,
DL,3,40,Green,DL_3_40,,,
DL,3,41,Green,DL_3_41,,,
DL,3,42,Green,DL_3_42,,,
DL,4,1,Red,DL_4_1,,,
DL,4,2,Red,DL_4_2,,,
DL,4,3,Red,DL_4_3,,,
DL,4,4,Red,DL_4_4,,,
DL,4,5,Red,DL_4_5,,,
DL,4,6,Red,DL_4_6,,,
DL,4,7,Red,DL_4_7,,,
DL,4,8,Red,DL_4_8,,,
DL,4,9,Red,DL_4_9,,,
DL,4,10,Red,DL_4_10,,,
DL,4,11,Red,DL_4_11,,,
DL,4,12,Red,DL_4_12,,,
DL,4,13,Red,DL_4_13,,,
DL,4,14,Red,DL_4_14,,,
DL,4,15,Red,DL_4_15,,,
DL,4,16,Red,DL_4_16,,,
DL,4,17,Red,DL_4_17,,,
DL,4,18,Red,DL_4_18,,,
DL,4,19,Red,DL_4_19,,,
DL,4,20,Red,DL_4_20,,,
DL,4,21,Red,DL_4_21,,,
DL,4,22,Red,DL_4_22,,,
DL,4,23,Red,DL_4_23,,,
DL,4,24,Red,DL_4_24,,,
DL,4,25,Red,DL_4_25,,,
DL,4,26,Red,DL_4_26,,,
